file,rounds,tjpgd full(us),zjpgd full(us),zjpgd rect(us),zjpgd central 1/4(us),zjpgd top left 1/4(us),zjpgd bottom right 1/4(us)
file samples/Arm-2D-Background1.jpg,20,16994,20393,22286,9869,8266,8343
file samples/Arm-2D-Compass.jpg,20,23441,31708,36728,11741,11645,11724
file samples/Arm-2D-HallowOutCircleMask.jpg,20,17623,25393,30409,9188,9245,9578
file samples/Arm-2D-Helium.jpg,20,5918,5831,6645,2930,3079,3162
file samples/Arm-2D-MeterPanel.jpg,20,5201,5317,6288,3547,3562,3343
file samples/Arm-2D-Rickrolling75.jpg,20,27683,33570,45600,17841,18045,16639
file samples/Arm-2D-SpinWheel.jpg,20,47931,67171,88041,22357,21889,22181
file samples/noise_16x16_420.jpg,20,1973,1881,1826,1837,1881,1879
file samples/noise_320x240_420.jpg,20,9085,8717,10211,5193,5395,5171
file samples/rgbw_105x110_400.jpg,20,2364,2198,2169,2015,1953,1980
file samples/rgbw_105x110_420.jpg,20,2189,2254,2327,2006,1943,1986
file samples/rgbw_105x110_422.jpg,20,2300,2282,2439,2373,2070,2279
file samples/rgbw_105x110_444.jpg,20,2276,2348,2640,2051,2089,2134
file samples/rgbw_125x120_400.jpg,20,2383,2231,2326,1984,2110,2088
file samples/rgbw_125x120_420.jpg,20,2329,2408,2525,2049,2089,2012
file samples/rgbw_125x120_422.jpg,20,2540,2534,2732,3097,2481,2327
file samples/rgbw_125x120_444.jpg,20,2442,2497,2757,2257,2375,2428
file samples/rgbw_128x165_400.jpg,20,2590,2493,2622,2113,2116,2198
file samples/rgbw_128x165_420.jpg,20,2382,2612,3137,3262,2646,2486
file samples/rgbw_128x165_422.jpg,20,3999,2711,2893,2280,2365,2375
file samples/rgbw_128x165_444.jpg,20,3257,2912,3019,2215,2271,2322
file samples/rgbw_129x139_400.jpg,20,2682,2446,2552,2154,2131,2063
file samples/rgbw_129x139_420.jpg,20,2463,2612,2608,2152,2100,2013
file samples/rgbw_129x139_422.jpg,20,2418,2551,2954,2501,3319,3086
file samples/rgbw_129x139_444.jpg,20,2627,2720,2990,9057,3781,3733
file samples/rgbw_132x72_400.jpg,20,2168,2139,2169,2253,1928,2046
file samples/rgbw_132x72_420.jpg,20,2273,2380,2452,2144,2001,2030
file samples/rgbw_132x72_422.jpg,20,2219,2485,2982,2302,2039,2156
file samples/rgbw_132x72_444.jpg,20,2260,2207,2410,2156,2291,2326
file samples/rgbw_137x237_400.jpg,20,2950,2857,2984,2292,2243,2196
